kljuc_igre,kljuc_razvijalca,razvijalec
8701,666460,VIS Entertainment
7731,666475,Titus France
5774,666480,Vicarious Visions
5774,666480,Vicarious Visions
16797,666480,Vicarious Visions
7661,666494,Snowblind Studios
12019,666494,Snowblind Studios
12497,666497,Eden Studios
13059,666542,Sir-Tech Software
2330,666551,Origin Systems
19264,666551,Origin Systems
13857,666551,Origin Systems
1061,666552,Eurocom Entertainment Software
1115,666552,Eurocom Entertainment Software
1198,666552,Eurocom Entertainment Software
1062,666552,Eurocom Entertainment Software
14898,666575,Sumo Digital
14897,666575,Sumo Digital
15750,666590,Shiny Entertainment
14133,666595,Now Production
11417,666624,Mindscape
11454,666627,Grey Matter
4435,666630,Incredible Technologies
4340,666693,Sales Curve Interactive
4540,666701,Zipper Interactive
4539,666701,Zipper Interactive
4541,666701,Zipper Interactive
12117,666701,Zipper Interactive
1064,666704,Acclaim Studios Salt Lake City
3473,666729,Jaleco Entertainment
117548,666737,Arc System Works
74938,666737,Arc System Works
10402,666738,Hothead Games
15668,666738,Hothead Games
10403,666738,Hothead Games
15665,666738,Hothead Games
90410,666738,Hothead Games
5713,666747,Eutechnyx
23269,666747,Eutechnyx
41813,666747,Eutechnyx
6980,666751,Game Republic
12338,666751,Game Republic
12874,666751,Game Republic
6872,666752,Realtime Worlds
11389,666753,Millennium Interactive
2160,666754,JAM Productions
8704,666765,Big Huge Games
11670,666765,Big Huge Games
117962,666773,Inti Creates
118989,666773,Inti Creates
85076,666773,Inti Creates
3743,666782,WOW Entertainment
5313,666782,WOW Entertainment
7145,666782,WOW Entertainment
12347,666782,WOW Entertainment
23059,666782,WOW Entertainment
27266,666782,WOW Entertainment
88868,666782,WOW Entertainment
380,666785,Tantalus Interactive
6534,666785,Tantalus Interactive
7310,666785,Tantalus Interactive
9243,666785,Tantalus Interactive
10873,666785,Tantalus Interactive
2117,666792,Piranha Bytes
9369,666792,Piranha Bytes
11338,666792,Piranha Bytes
12156,666792,Piranha Bytes
21641,666792,Piranha Bytes
21642,666792,Piranha Bytes
2342,666793,Kaos Studios
8113,666793,Kaos Studios
21931,666796,Bohemia Interactive Studio
8729,666797,Eden Games
8728,666797,Eden Games
2465,666798,DiCE
7984,666798,DiCE
17595,666798,DiCE
17594,666798,DiCE
7867,666798,DiCE
10579,666802,Sierra On-Line
9730,666802,Sierra On-Line
32395,666802,Sierra On-Line
71735,666823,Revolution Software
2489,666824,Frictional Games
2415,666824,Frictional Games
10610,666824,Frictional Games
14722,666824,Frictional Games
830,666832,FromSoftware
7035,666832,FromSoftware
7453,666832,FromSoftware
9884,666832,FromSoftware
11565,666832,FromSoftware
24097,666832,FromSoftware
9885,666832,FromSoftware
8080,666832,FromSoftware
19184,666832,FromSoftware
27499,666832,FromSoftware
12672,666832,FromSoftware
17788,666832,FromSoftware
41103,666832,FromSoftware
14918,666837,Trion Worlds
14919,666837,Trion Worlds
14920,666837,Trion Worlds
10483,666839,Spicy Horse
15639,666842,Haemimont Games
2481,666846,8monkey Labs
23275,666857,Argonaut Software
